Ano,Mês,Evolução Mensal (AnoMês),Países Acordantes,Qtd Créd. Emit AcInt,Vlr Créd. Emit AcInt
1999,Janeiro,199901,Espanha,0,"0,00"
1999,Janeiro,199901,Grécia,0,"0,00"
1999,Janeiro,199901,Portugal,8536,"3200870,27"
1999,Fevereiro,199902,Espanha,0,"0,00"
1999,Fevereiro,199902,Grécia,0,"0,00"
1999,Fevereiro,199902,Portugal,8539,"3135338,12"
1999,Março,199903,Espanha,3056,"3003571,39"
1999,Março,199903,Grécia,128,"175571,28"
1999,Março,199903,Portugal,8534,"3119929,84"
1999,Abril,199904,Espanha,0,"0,00"
1999,Abril,199904,Grécia,0,"0,00"
1999,Abril,199904,Portugal,8524,"3139515,31"
1999,Maio,199905,Espanha,0,"0,00"
1999,Maio,199905,Grécia,0,"0,00"
1999,Maio,199905,Portugal,8517,"3042904,87"
1999,Junho,199906,Espanha,3025,"2580259,60"
1999,Junho,199906,Grécia,131,"132762,04"
1999,Junho,199906,Portugal,8538,"3197384,83"
1999,Julho,199907,Espanha,2968,"934645,79"
1999,Julho,199907,Grécia,0,"0,00"
1999,Julho,199907,Portugal,8543,"3215646,22"
1999,Agosto,199908,Espanha,2985,"872328,22"
1999,Agosto,199908,Grécia,0,"0,00"
1999,Agosto,199908,Portugal,8556,"3211587,15"
1999,Setembro,199909,Espanha,3006,"930722,19"
1999,Setembro,199909,Grécia,133,"150996,13"
1999,Setembro,199909,Portugal,8593,"3246558,85"
1999,Outubro,199910,Espanha,3041,"955961,53"
1999,Outubro,199910,Grécia,0,"0,00"
1999,Outubro,199910,Portugal,8595,"3248863,72"
1999,Novembro,199911,Espanha,3047,"1769031,69"
1999,Novembro,199911,Grécia,0,"0,00"
1999,Novembro,199911,Portugal,8567,"6356092,84"
1999,Dezembro,199912,Espanha,3054,"886758,25"
1999,Dezembro,199912,Grécia,134,"202473,09"
1999,Dezembro,199912,Portugal,8572,"3149380,57"
2000,Janeiro,200001,Espanha,3074,"923604,09"
2000,Janeiro,200001,Grécia,0,"0,00"
2000,Janeiro,200001,Portugal,8579,"3227065,71"
2000,Fevereiro,200002,Espanha,2991,"865414,14"
2000,Fevereiro,200002,Grécia,0,"0,00"
2000,Fevereiro,200002,Portugal,8572,"3134046,75"
2000,Março,200003,Espanha,3128,"918734,38"
2000,Março,200003,Grécia,130,"141856,36"
2000,Março,200003,Portugal,8538,"3142737,67"
2000,Abril,200004,Espanha,3176,"968057,07"
2000,Abril,200004,Grécia,0,"0,00"
2000,Abril,200004,Portugal,8555,"3236622,56"
2000,Maio,200005,Espanha,3188,"952186,32"
2000,Maio,200005,Grécia,0,"0,00"
2000,Maio,200005,Portugal,8517,"3241368,25"
2000,Junho,200006,Espanha,3206,"1004465,55"
2000,Junho,200006,Grécia,128,"143002,84"
2000,Junho,200006,Portugal,8578,"3413852,74"
2000,Julho,200007,Espanha,3213,"978271,24"
2000,Julho,200007,Grécia,0,"0,00"
2000,Julho,200007,Portugal,8521,"3322658,71"
2000,Agosto,200008,Espanha,3227,"1006236,26"
2000,Agosto,200008,Grécia,0,"0,00"
2000,Agosto,200008,Portugal,8482,"3250581,46"
2000,Setembro,200009,Espanha,3227,"1097088,34"
2000,Setembro,200009,Grécia,129,"151949,22"
2000,Setembro,200009,Portugal,8489,"3305578,97"
2000,Outubro,200010,Espanha,3266,"1142090,99"
2000,Outubro,200010,Grécia,0,"0,00"
2000,Outubro,200010,Portugal,8488,"3641853,24"
2000,Novembro,200011,Espanha,3279,"2022092,19"
2000,Novembro,200011,Grécia,0,"0,00"
2000,Novembro,200011,Portugal,8509,"6659579,26"
2000,Dezembro,200012,Espanha,3296,"1084169,18"
2000,Dezembro,200012,Grécia,126,"197933,34"
2000,Dezembro,200012,Portugal,8516,"3398663,61"
2001,Janeiro,200101,Espanha,3293,"1052492,00"
2001,Janeiro,200101,Grécia,126,"49117,00"
2001,Janeiro,200101,Portugal,8535,"3345812,00"
2001,Fevereiro,200102,Espanha,3313,"1073590,00"
2001,Fevereiro,200102,Grécia,127,"49564,00"
2001,Fevereiro,200102,Portugal,8558,"3401140,00"
2001,Março,200103,Espanha,3330,"1059740,00"
2001,Março,200103,Grécia,128,"50258,00"
2001,Março,200103,Portugal,8494,"3400752,00"
2001,Abril,200104,Espanha,3332,"1091069,00"
2001,Abril,200104,Grécia,128,"51510,00"
2001,Abril,200104,Portugal,8473,"3436758,00"
2001,Maio,200105,Espanha,3335,"1096790,00"
2001,Maio,200105,Grécia,128,"51510,00"
2001,Maio,200105,Portugal,8469,"3439088,00"
2001,Junho,200106,Espanha,3374,"1174477,00"
2001,Junho,200106,Grécia,127,"54421,00"
2001,Junho,200106,Portugal,8451,"3627549,00"
2001,Julho,200107,Espanha,3632,"1184561,00"
2001,Julho,200107,Grécia,127,"54367,00"
2001,Julho,200107,Portugal,8970,"3634072,00"
2001,Agosto,200108,Espanha,3362,"1168900,00"
2001,Agosto,200108,Grécia,129,"54727,00"
2001,Agosto,200108,Portugal,8382,"3611499,00"
2001,Setembro,200109,Espanha,3367,"1177396,00"
2001,Setembro,200109,Grécia,129,"54727,00"
2001,Setembro,200109,Portugal,8382,"3660321,00"
2001,Outubro,200110,Espanha,3373,"1190570,00"
2001,Outubro,200110,Grécia,130,"55177,00"
2001,Outubro,200110,Portugal,8407,"3746664,00"
2001,Novembro,200111,Espanha,3370,"2337133,00"
2001,Novembro,200111,Grécia,131,"110469,00"
2001,Novembro,200111,Portugal,8393,"7218933,00"
2001,Dezembro,200112,Espanha,3378,"1199511,00"
2001,Dezembro,200112,Grécia,128,"54547,00"
2001,Dezembro,200112,Portugal,8342,"3613728,00"
2002,Janeiro,200201,Espanha,3379,"1187718,65"
2002,Janeiro,200201,Grécia,127,"53923,02"
2002,Janeiro,200201,Portugal,8348,"3631461,34"
2002,Fevereiro,200202,Espanha,3391,"1248747,14"
2002,Fevereiro,200202,Grécia,127,"53994,12"
2002,Fevereiro,200202,Portugal,8344,"3682072,00"
2002,Março,200203,Espanha,3411,"1205469,05"
2002,Março,200203,Grécia,127,"53946,72"
2002,Março,200203,Portugal,8334,"3655355,00"
2002,Abril,200204,Espanha,3441,"1269326,10"
2002,Abril,200204,Grécia,128,"55052,82"
2002,Abril,200204,Portugal,8257,"3683999,29"
2002,Maio,200205,Espanha,3441,"1254261,74"
2002,Maio,200205,Grécia,130,"56012,47"
2002,Maio,200205,Portugal,8295,"3734482,13"
2002,Junho,200206,Espanha,3452,"1379984,74"
2002,Junho,200206,Grécia,130,"60294,50"
2002,Junho,200206,Portugal,8279,"3994445,00"
2002,Julho,200207,Espanha,3451,"1344456,64"
2002,Julho,200207,Grécia,130,"61365,24"
2002,Julho,200207,Portugal,8254,"3987707,45"
2002,Agosto,200208,Espanha,3456,"1336905,00"
2002,Agosto,200208,Grécia,129,"59452,18"
2002,Agosto,200208,Portugal,8259,"3994095,00"
2002,Setembro,200209,Espanha,3459,"1358802,00"
2002,Setembro,200209,Grécia,129,"59452,18"
2002,Setembro,200209,Portugal,8266,"3997142,36"
2002,Outubro,200210,Espanha,3498,"1395777,69"
2002,Outubro,200210,Grécia,128,"59715,91"
2002,Outubro,200210,Portugal,8273,"4031832,00"
2002,Novembro,200211,Espanha,3501,"2755853,54"
2002,Novembro,200211,Grécia,130,"120198,61"
2002,Novembro,200211,Portugal,8307,"8080571,00"
2002,Dezembro,200212,Espanha,3512,"1427973,86"
2002,Dezembro,200212,Grécia,130,"59423,53"
2002,Dezembro,200212,Portugal,8325,"4129757,81"
2003,Janeiro,200301,Espanha,3517,"1399150,44"
2003,Janeiro,200301,Grécia,129,"59178,11"
2003,Janeiro,200301,Portugal,8304,"3991881,38"
2003,Fevereiro,200302,Espanha,3522,"1382366,11"
2003,Fevereiro,200302,Grécia,130,"60161,76"
2003,Fevereiro,200302,Portugal,8328,"4069863,68"
2003,Março,200303,Espanha,3530,"1382944,48"
2003,Março,200303,Grécia,129,"59178,10"
2003,Março,200303,Portugal,8333,"4057474,52"
2003,Abril,200304,Espanha,3556,"1511641,32"
2003,Abril,200304,Grécia,129,"61000,59"
2003,Abril,200304,Portugal,8392,"4307878,77"
2003,Maio,200305,Espanha,3601,"1544897,29"
2003,Maio,200305,Grécia,131,"67024,59"
2003,Maio,200305,Portugal,8412,"4276548,18"
2003,Junho,200306,Espanha,3666,"1777594,26"
2003,Junho,200306,Grécia,133,"76729,96"
2003,Junho,200306,Portugal,8336,"4831398,20"
2003,Julho,200307,Espanha,3656,"1764348,62"
2003,Julho,200307,Grécia,137,"75568,03"
2003,Julho,200307,Portugal,8346,"4862752,02"
2003,Agosto,200308,Espanha,3502,"1661226,73"
2003,Agosto,200308,Grécia,136,"73538,05"
2003,Agosto,200308,Portugal,8363,"4977595,92"
2003,Setembro,200309,Espanha,3491,"1625911,83"
2003,Setembro,200309,Grécia,136,"73538,05"
2003,Setembro,200309,Portugal,8342,"4927357,53"
2003,Outubro,200310,Espanha,3505,"1653461,95"
2003,Outubro,200310,Grécia,135,"72092,25"
2003,Outubro,200310,Portugal,8371,"4859200,63"
2003,Novembro,200311,Espanha,3506,"3360239,52"
2003,Novembro,200311,Grécia,136,"148389,66"
2003,Novembro,200311,Portugal,8318,"9760382,30"
2003,Dezembro,200312,Espanha,3514,"1673640,04"
2003,Dezembro,200312,Grécia,134,"71595,36"
2003,Dezembro,200312,Portugal,8310,"4835845,24"
2004,Janeiro,200401,Espanha,3506,"1649482,00"
2004,Janeiro,200401,Grécia,134,"71595,00"
2004,Janeiro,200401,Portugal,8315,"4949172,00"
2004,Fevereiro,200402,Espanha,3519,"1683609,00"
2004,Fevereiro,200402,Grécia,137,"105795,00"
2004,Fevereiro,200402,Portugal,8351,"4890709,00"
2004,Março,200403,Espanha,3542,"1773681,00"
2004,Março,200403,Grécia,135,"71796,00"
2004,Março,200403,Portugal,8375,"5248618,00"
2004,Abril,200404,Espanha,3567,"2056632,00"
2004,Abril,200404,Grécia,135,"71796,00"
